name,value
apple-blue,#007AFF
apple-indigo,#5856D6
apple-purple,#5856D6
apple-pink,#FF2D55
apple-red,#FF3B30
apple-orange,#FF9500
apple-yellow,#FFCC00
apple-green,#4CD964
apple-teal,#34AADC
apple-cyan,#5AC8FA
apple-red-orange,#FF1300
apple-tomato,#FF3A2D
apple-pink-light,#FFD3E0
apple-taupe,#D6CEC3
system-gray-50,#F7F7F7
system-gray-100,#F7F7F7
system-gray-200,#C7C7CC
system-gray-300,#BDBEC2
system-gray-400,#C7C7CC
system-gray-500,#8E8E93
system-gray-600,#8E8E93
system-gray-700,#636366
system-gray-800,#48484A
system-gray-900,#1F1F21
white,#FFFFFF
black,#000000

